,index,team1,team2
414,571,Sunrisers Hyderabad,Mumbai Indians
415,572,Mumbai Indians,Chennai Super Kings
416,573,Royal Challengers Bangalore,Rajasthan Royals
417,574,Royal Challengers Bangalore,Chennai Super Kings
418,575,Mumbai Indians,Chennai Super Kings
419,577,Delhi Daredevils,Kolkata Knight Riders
420,579,Royal Challengers Bangalore,Sunrisers Hyderabad
421,580,Kolkata Knight Riders,Mumbai Indians
422,582,Kings XI Punjab,Delhi Daredevils
423,583,Sunrisers Hyderabad,Kolkata Knight Riders
424,586,Royal Challengers Bangalore,Delhi Daredevils
425,587,Mumbai Indians,Sunrisers Hyderabad
426,588,Kings XI Punjab,Kolkata Knight Riders
427,589,Royal Challengers Bangalore,Mumbai Indians
428,592,Delhi Daredevils,Mumbai Indians
429,593,Kings XI Punjab,Sunrisers Hyderabad
430,596,Mumbai Indians,Kings XI Punjab
431,599,Kolkata Knight Riders,Mumbai Indians
432,601,Delhi Daredevils,Kolkata Knight Riders
433,602,Sunrisers Hyderabad,Royal Challengers Bangalore
434,605,Royal Challengers Bangalore,Kolkata Knight Riders
435,607,Kolkata Knight Riders,Kings XI Punjab
436,611,Kings XI Punjab,Delhi Daredevils
437,612,Sunrisers Hyderabad,Mumbai Indians
438,614,Royal Challengers Bangalore,Kings XI Punjab
439,616,Royal Challengers Bangalore,Mumbai Indians
440,617,Sunrisers Hyderabad,Delhi Daredevils
441,618,Mumbai Indians,Kings XI Punjab
442,621,Kings XI Punjab,Sunrisers Hyderabad
443,622,Mumbai Indians,Delhi Daredevils
444,623,Kolkata Knight Riders,Royal Challengers Bangalore
445,625,Royal Challengers Bangalore,Kings XI Punjab
446,627,Sunrisers Hyderabad,Delhi Daredevils
447,630,Kolkata Knight Riders,Sunrisers Hyderabad
448,631,Delhi Daredevils,Royal Challengers Bangalore
449,633,Sunrisers Hyderabad,Kolkata Knight Riders
450,635,Sunrisers Hyderabad,Royal Challengers Bangalore
451,636,Mumbai Indians,Chennai Super Kings
452,637,Delhi Daredevils,Kings XI Punjab
453,638,Royal Challengers Bangalore,Kolkata Knight Riders
454,639,Rajasthan Royals,Sunrisers Hyderabad
455,640,Kolkata Knight Riders,Chennai Super Kings
456,641,Rajasthan Royals,Delhi Daredevils
457,642,Mumbai Indians,Sunrisers Hyderabad
458,643,Kings XI Punjab,Royal Challengers Bangalore
459,644,Mumbai Indians,Delhi Daredevils
460,645,Kolkata Knight Riders,Sunrisers Hyderabad
461,646,Rajasthan Royals,Royal Challengers Bangalore
462,647,Kings XI Punjab,Chennai Super Kings
463,648,Kolkata Knight Riders,Delhi Daredevils
464,649,Mumbai Indians,Royal Challengers Bangalore
465,650,Rajasthan Royals,Kolkata Knight Riders
466,651,Kings XI Punjab,Sunrisers Hyderabad
467,652,Chennai Super Kings,Rajasthan Royals
468,653,Kolkata Knight Riders,Kings XI Punjab
469,654,Delhi Daredevils,Royal Challengers Bangalore
470,655,Chennai Super Kings,Sunrisers Hyderabad
471,656,Mumbai Indians,Rajasthan Royals
472,657,Kings XI Punjab,Delhi Daredevils
473,658,Sunrisers Hyderabad,Mumbai Indians
474,659,Royal Challengers Bangalore,Chennai Super Kings
475,660,Sunrisers Hyderabad,Kings XI Punjab
476,661,Delhi Daredevils,Kolkata Knight Riders
477,662,Chennai Super Kings,Mumbai Indians
478,663,Sunrisers Hyderabad,Rajasthan Royals
479,664,Royal Challengers Bangalore,Kolkata Knight Riders
480,665,Chennai Super Kings,Delhi Daredevils
481,666,Royal Challengers Bangalore,Mumbai Indians
482,667,Delhi Daredevils,Rajasthan Royals
483,668,Chennai Super Kings,Kolkata Knight Riders
484,669,Kings XI Punjab,Mumbai Indians
485,670,Royal Challengers Bangalore,Chennai Super Kings
486,671,Delhi Daredevils,Sunrisers Hyderabad
487,672,Mumbai Indians,Kolkata Knight Riders
488,673,Rajasthan Royals,Kings XI Punjab
489,674,Sunrisers Hyderabad,Royal Challengers Bangalore
490,675,Rajasthan Royals,Kings XI Punjab
491,676,Mumbai Indians,Kolkata Knight Riders
492,677,Delhi Daredevils,Sunrisers Hyderabad
493,678,Chennai Super Kings,Rajasthan Royals
494,679,Kolkata Knight Riders,Kings XI Punjab
495,680,Delhi Daredevils,Royal Challengers Bangalore
496,681,Sunrisers Hyderabad,Chennai Super Kings
497,682,Mumbai Indians,Rajasthan Royals
498,683,Kings XI Punjab,Royal Challengers Bangalore
499,684,Rajasthan Royals,Kolkata Knight Riders
500,685,Mumbai Indians,Kings XI Punjab
501,686,Royal Challengers Bangalore,Sunrisers Hyderabad
502,687,Delhi Daredevils,Chennai Super Kings
503,688,Rajasthan Royals,Royal Challengers Bangalore
504,689,Sunrisers Hyderabad,Kolkata Knight Riders
505,690,Delhi Daredevils,Mumbai Indians
506,691,Kings XI Punjab,Chennai Super Kings
507,692,Sunrisers Hyderabad,Chennai Super Kings
508,693,Kolkata Knight Riders,Rajasthan Royals
509,694,Sunrisers Hyderabad,Kolkata Knight Riders
510,695,Sunrisers Hyderabad,Chennai Super Kings
511,696,Royal Challengers Bangalore,Chennai Super Kings
512,697,Sunrisers Hyderabad,Kolkata Knight Riders
513,699,Kings XI Punjab,Rajasthan Royals
514,701,Kolkata Knight Riders,Kings XI Punjab
515,702,Mumbai Indians,Royal Challengers Bangalore
516,703,Rajasthan Royals,Sunrisers Hyderabad
517,704,Mumbai Indians,Kings XI Punjab
518,706,Sunrisers Hyderabad,Royal Challengers Bangalore
519,707,Chennai Super Kings,Rajasthan Royals
520,709,Royal Challengers Bangalore,Rajasthan Royals
521,710,Mumbai Indians,Chennai Super Kings
522,712,Royal Challengers Bangalore,Kolkata Knight Riders
523,713,Chennai Super Kings,Kings XI Punjab
524,714,Mumbai Indians,Sunrisers Hyderabad
525,716,Rajasthan Royals,Kolkata Knight Riders
526,717,Sunrisers Hyderabad,Kings XI Punjab
527,718,Kolkata Knight Riders,Chennai Super Kings
528,719,Kings XI Punjab,Mumbai Indians
529,720,Rajasthan Royals,Chennai Super Kings
530,722,Mumbai Indians,Rajasthan Royals
531,723,Kings XI Punjab,Royal Challengers Bangalore
532,724,Kolkata Knight Riders,Chennai Super Kings
533,726,Royal Challengers Bangalore,Mumbai Indians
